method,n_size,experiment_type,arc_rmse,total_transition_cost,average_transition_cost,global_coherence,p90_transition,p95_transition,max_transition,dtw_shape,ratio_adherence_rmse,method_time_s,total_time_s
mm_beam,90,all_genres,0.18461,83.23311,0.9352,0.82267,1.54933,1.85029,2.85269,8.95617,0.32158,0.13749,0.15934
greedy_arc_trans,90,all_genres,0.19126,82.70857,0.92931,0.81655,1.49577,1.8925,3.54067,9.58609,0.33303,0.00062,0.02248
bibs_current,90,all_genres,0.19415,108.48115,1.21889,0.66092,2.31148,2.97526,4.06103,9.58473,0.34337,0.0,0.02185
bibs_repair,90,all_genres,0.19401,100.42574,1.12838,0.73563,1.97672,2.34952,3.22004,9.47025,0.34313,0.09912,0.12097
bibs_stochastic,90,all_genres,0.19464,107.83457,1.21162,0.66612,2.2101,2.92788,4.24975,9.69672,0.34306,0.0,0.02185
bibs_stoch_repair,90,all_genres,0.19471,100.02643,1.12389,0.74043,1.93669,2.29134,3.26638,9.71703,0.34288,0.1013,0.12316
bibs_parallel,90,all_genres,0.17497,145.99388,1.64038,0.46162,2.77603,3.06872,3.99366,8.85404,0.30495,0.0105,0.03235
mm_beam_stochastic,90,all_genres,0.18461,83.23311,0.9352,0.82267,1.54933,1.85029,2.85269,8.95617,0.32158,0.0,0.02185
mm_beam_stochastic_repair,90,all_genres,0.18466,82.64401,0.92858,0.82754,1.5309,1.82173,2.64695,8.96574,0.32149,0.11604,0.13787
mm_beam_orch_stochastic,90,all_genres,0.18461,83.23311,0.9352,0.82267,1.54933,1.85029,2.85269,8.95617,0.32158,0.0,0.02185
mm_beam_orch_stochastic_repair,90,all_genres,0.18466,82.64401,0.92858,0.82754,1.5309,1.82173,2.64695,8.96574,0.32149,0.11916,0.141
bibs_tempo_aware,90,all_genres,0.19424,109.14377,1.22633,0.65736,2.28892,3.02744,4.05159,9.74895,0.34341,5.82806,5.8499
bibs_alpha2,90,all_genres,0.20006,112.76878,1.26706,0.62553,2.59011,3.18745,4.23543,9.96222,0.34867,5.85004,5.87189
mm_beam_alpha2,90,all_genres,0.19192,85.70294,0.96295,0.8106,1.62548,1.95125,2.90927,9.17775,0.32963,0.13158,0.15344
bibs_traj_first,90,all_genres,0.19458,108.00678,1.21356,0.66473,2.28206,2.94313,4.06546,9.59196,0.34347,5.78184,5.80369
random,120,all_genres,0.19773,278.95884,2.34419,0.01024,3.45078,3.69686,4.33571,14.10101,0.32658,0.00019,0.04444
transition_greedy,120,all_genres,0.20469,99.67562,0.83761,0.85044,1.37068,1.69441,3.23623,13.33034,0.34234,0.0007,0.04497
arc_assignment,120,all_genres,0.09248,265.78011,2.23345,0.09249,3.33138,3.58108,4.19412,5.41413,0.26806,0.00099,0.04526
flexer_interp,120,all_genres,0.1573,268.10475,2.25298,0.07595,3.36877,3.60515,4.22629,9.61776,0.20867,0.00358,0.04786
forward_beam,120,all_genres,0.18553,104.63064,0.87925,0.83831,1.47219,1.75984,3.19261,12.26652,0.34783,0.213,0.25726
mm_beam,120,all_genres,0.17879,103.27967,0.8679,0.84584,1.44563,1.75009,2.80727,11.36604,0.3256,0.39039,0.43466
greedy_arc_trans,120,all_genres,0.18485,101.29375,0.85121,0.84631,1.38786,1.75332,3.24674,12.39308,0.33846,0.0013,0.04557
bibs_current,120,all_genres,0.18442,136.14536,1.14408,0.69662,2.09383,2.82585,4.14146,12.62015,0.34365,0.0,0.04426
bibs_repair,120,all_genres,0.18411,127.4272,1.07082,0.7586,1.87341,2.27114,3.27803,12.59179,0.34356,0.17233,0.21661
bibs_stochastic,120,all_genres,0.18443,135.79879,1.14117,0.69804,2.04057,2.79655,4.2706,12.55988,0.3426,0.0,0.04427
bibs_stoch_repair,120,all_genres,0.18491,128.37288,1.07876,0.75348,1.89373,2.28868,3.37094,12.60249,0.34266,0.17682,0.2211
bibs_parallel,120,all_genres,0.17616,178.49088,1.49992,0.53747,2.64761,2.93851,3.92131,12.28201,0.31829,0.03176,0.07603
mm_beam_stochastic,120,all_genres,0.17879,103.27967,0.8679,0.84584,1.44563,1.75009,2.80727,11.36604,0.3256,0.0,0.04426
mm_beam_stochastic_repair,120,all_genres,0.17875,102.83481,0.86416,0.84855,1.44619,1.72032,2.68645,11.37063,0.3256,0.19155,0.23582
mm_beam_orch_stochastic,120,all_genres,0.17879,103.27967,0.8679,0.84584,1.44563,1.75009,2.80727,11.36604,0.3256,0.0,0.04426
mm_beam_orch_stochastic_repair,120,all_genres,0.17875,102.83481,0.86416,0.84855,1.44619,1.72032,2.68645,11.37063,0.3256,0.19965,0.24392
bibs_tempo_aware,120,all_genres,0.18341,134.56156,1.13077,0.70534,2.03381,2.78728,4.08906,12.45803,0.34456,5.82665,5.87091
bibs_alpha2,120,all_genres,0.18742,140.0935,1.17726,0.67102,2.31163,3.05746,4.16344,12.90834,0.34777,5.4822,5.52647
mm_beam_alpha2,120,all_genres,0.1853,106.4311,0.89438,0.83371,1.50089,1.83001,2.94329,11.8848,0.32936,0.36751,0.41178
bibs_traj_first,120,all_genres,0.18413,135.54399,1.13903,0.69983,2.08674,2.80338,4.11072,12.60954,0.34464,5.48968,5.53395
