position,track_index,track_id,track_name,artists,track_genre,EV_score,tempo,camelot,energy,valence,key,mode,time_signature,loudness,acousticness,instrumentalness,liveness,speechiness
134,73,1hYaQRlsuEW4kMjjmjyow3,"Oh Sita Hey Rama (From ""Sita Ramam (Telugu)"")",Vishal Chandrashekhar;S.P. Charan;Ramya Behra,pop,0.5525426525330693,170.013,11A,0.425,0.548,6,0,4,-11.722,0.591,0.0,0.0908,0.0453
135,61,6JUQViD0hLXlvWXCV4uUF8,Chitta,Manan Bhardwaj,pop,0.5170379827205063,169.93,2B,0.494,0.496,6,1,4,-9.282,0.706,0.0,0.0772,0.0536
136,171,04UzZSWfw8hkK832P27QLq,Yaari,Nikk;Avneet Kaur,pop,0.5513314226600258,159.914,2B,0.557,0.395,6,1,4,-8.824,0.427,0.0,0.103,0.106
137,76,2tGvwE8GcFKwNdAXMnlbfl,happier,Olivia Rodrigo,pop,0.45984580523583407,168.924,2B,0.443,0.338,6,1,3,-9.72,0.765,9.67e-06,0.0839,0.133
138,131,6xGruZOHLs39ZbVccQTuPZ,Glimpse of Us,Joji,pop,0.4347573910867883,169.914,4B,0.317,0.268,8,1,3,-9.258,0.891,4.78e-06,0.141,0.0531
139,118,0MbP1Nr6DLXB7HFXD7QVwU,Visiting Hours,Ed Sheeran,pop,0.46027720645227754,149.609,4B,0.396,0.263,8,1,4,-6.654,0.77,0.0,0.0729,0.0336
140,10,5O2P9iiztwhomNh8xkR9lJ,Night Changes,One Direction,pop,0.5192805010720426,120.001,4B,0.52,0.37,8,1,4,-7.747,0.859,0.0,0.115,0.0353
141,258,0rMeOAvbQZ2RTG4B6L1M4p,Asal Mein,Darshan Raval,pop,0.5184002422616917,114.106,4B,0.551,0.329,8,1,4,-6.43,0.721,1.26e-06,0.0947,0.0299
142,46,4tMwHkxBwnGkts9mxFpwQy,Medley: Kehna Galat Galat / Halka Halka Suroor,Madhur Sharma;Nusrat Fateh Ali Khan,pop,0.590909901765716,114.986,4B,0.506,0.703,8,1,4,-8.579,0.484,0.0,0.0944,0.037
143,144,1JyC0QIAcBdBZPtrv1glty,All Around Me,Justin Bieber,pop,0.5284009167061504,117.148,5B,0.438,0.694,3,1,4,-7.564,0.811,0.0,0.212,0.0372
144,187,4nVBt6MZDDP6tRVdQTgxJg,Story of My Life,One Direction,pop,0.5342869739658133,121.07,5B,0.663,0.286,3,1,4,-5.802,0.225,0.0,0.119,0.0477
145,252,4Rt5ie6v0adFZmbTPoo3qZ,A Sky Full of Stars - Hardwell Remix,Coldplay;Geoff Swan;Hardwell;Mark 'Spike' Stent,pop,0.5270333313586042,127.997,2A,0.657,0.0861,3,0,4,-4.491,0.00208,6.93e-05,0.0859,0.0306
146,96,0Aqi7ArnBrGblW5T6p2jmD,Falling,Trevor Daniel,pop,0.5013961728629087,127.085,3A,0.431,0.236,10,0,4,-8.756,0.123,0.0,0.0887,0.0364
147,79,6Xh1mVYnEauD71lkhLfAz2,She's The One,JERRY;Devilo,pop,0.49695050831118837,133.98,4A,0.487,0.498,5,0,4,-7.456,0.181,0.0,0.105,0.0753
148,279,70MVLulHguwdhGo7100hsU,Ik Lamha,Azaan Sami Khan,pop,0.5222564764474849,140.047,4A,0.557,0.333,5,0,4,-7.557,0.671,0.0,0.107,0.0466
149,54,5DMirbBpNmJdTU9rGH2VW4,The Scientist,Coldplay,pop,0.47442937288670334,146.277,7B,0.442,0.213,5,1,4,-7.224,0.731,1.46e-05,0.11,0.0243
150,30,5wANPM4fQCJwkGd4rN57mH,drivers license,Olivia Rodrigo,pop,0.4367552099470381,143.875,6B,0.431,0.137,10,1,4,-8.81,0.768,1.42e-05,0.106,0.0578
151,112,6zyozkRLgDlqZIUJzCwkgP,Dil Na Jaaneya,Rochak Kohli;Lauv;AKASA,pop,0.5391986390741363,131.972,6B,0.348,0.49,10,1,4,-9.457,0.594,1.45e-06,0.097,0.0434
152,261,14MGlCeQzAJj3EeznSGeEC,cardigan,Taylor Swift,pop,0.5566512904104858,130.045,5A,0.58,0.534,0,0,4,-8.572,0.525,0.000414,0.26,0.0419
153,263,1ccZZf0IQi5y0bHMl2aGDF,Gulabi Aankhen,Sanam,pop,0.5423343616293121,105.914,5A,0.647,0.44,0,0,4,-6.97,0.422,0.0,0.251,0.0436
154,14,7cC4Y0jQZ4eRoRqRQIau1x,Sorry,Justin Bieber,pop,0.6041845446966535,100.035,5A,0.748,0.438,0,0,4,-3.624,0.0878,0.0,0.299,0.0385
155,151,3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend,Coldplay,pop,0.4881942044182006,90.027,5A,0.693,0.412,0,0,4,-6.487,0.211,6.92e-06,0.325,0.0377
156,27,4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber;Daniel Caesar;Giveon,pop,0.557452188068718,90.03,8B,0.696,0.464,0,1,4,-6.181,0.321,0.0,0.42,0.119
157,66,6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Harry Styles,pop,0.5955550833488961,95.39,8B,0.816,0.557,0,1,4,-4.209,0.122,0.0,0.335,0.0465
158,224,52KDAbgFGCXZQVlOXy2XIQ,Out of Time,The Weeknd,pop,0.6582982735948082,93.023,5A,0.763,0.809,0,0,4,-4.279,0.244,0.0,0.312,0.0453
159,241,5XCa3ygRyz2R9avSi0CYJI,I Feel It Coming,The Weeknd;Daft Punk,pop,0.6406694659292629,92.996,5A,0.82,0.555,0,0,4,-5.897,0.394,0.0,0.0739,0.115
160,26,2si0ZNx4yRbggTvrIom8A2,Paniyon Sa,Rochak Kohli;Atif Aslam;Tulsi Kumar,pop,0.5666950835975826,75.03,5A,0.768,0.669,0,0,4,-4.953,0.447,0.000226,0.0833,0.0566
161,145,0tPGKwBnhD2pxeUoGxpZYB,Numb,Khan Bhaini,pop,0.5433847908282798,80.634,6A,0.6,0.625,7,0,4,-4.008,0.32,0.0,0.108,0.0494
